endorsement__user_id,comment_thread_id__$oid,_type,endorsement,endorsed,historical_abuse_flaggers,,last_activity_at__$date,,,at_position_list,sk,pinned,votes__down,author_username,endorsement__time,parent_ids,votes__count,commentable_id,parent_id__$oid,votes__point,visible,anonymous,_id__$oid,body,abuse_flaggers,course_id,anonymous_to_peers,author_id,comment_count,votes__down_count,created_at__$date,updated_at__$date,votes__up_count,title,closed,votes__up,thread_type
,,CommentThread,,,[],,,,,[],543c3ee904d6cf67ea0006b4,,[],CaseyCollins,,[],3,,,3,TRUE,FALSE,543c3ee904d6cf67ea0006b4,"Hello everybody! Greetings from UBC in Vancouver!My name is Casey, and I'm also one of the teaching assistants for your course. I'm originally from San Mateo, California (near San Francisco). Like Robin, I am pursuing postgraduate studies at the University of British Columbia in Vancouver. I am learning about a variety of approaches to religious studies, and my research is focused on modern Japanese religions. I'm very excited about the next few weeks and look forward to hearing about your interests and thoughts as we move through the course!  ",[],UBCx/China300x/3T2014,FALSE,4863854,,0,1413234409968,1.41323E+12,3,,,"['264979', '893549', '1870301']",
,,CommentThread,,,[],,1413308973719,,,[],,,[],larrycwilson1862,,,1,264c60c15ea34d3480a6893781b2d18e,,1,TRUE,FALSE,543d622d04d6cff537000772,"My name is Larry Charles Wilson. I'm a 72 y/o retired professor of U.S. History. My minors were Philosophy and English Literature. I'm a dedicated follower of William James and Bernard De Mandeville.I'm auditing this course because while I have a smattering of knowledge of Confucianism and Daoism, I know nothing about Legalism...and the rest.",[],UBCx/China300x/3T2014,FALSE,2017303,0,0,1413308973718,1.41331E+12,1,Larry Charles Wilson,FALSE,['893549'],discussion
,,CommentThread,,,[],,1413309406188,,,[],,,[],SimonCole,,,1,264c60c15ea34d3480a6893781b2d18e,,1,TRUE,FALSE,543d63de54ea3f7c1a0007c1,"I'm originally from Yorkshire in the UK.  I came over to the mountains near Monchique in the Algarve, Portugal to live in a couple of small ruins with some friends.  That was over 8 years ago and I am still learning the culture around here.  I also discovered MOOC's at the beginning of this year and they are the answer I have been looking for, living so far away from any form of English based education.  At 57 I am thoroughly enjoying the chance to continue learning and Chinese thought of this period really does interest me.",[],UBCx/China300x/3T2014,FALSE,2956790,0,0,1413309406188,1.41331E+12,1,Hi from Portugal,FALSE,['893549'],discussion
,,CommentThread,,,[],,1413309424793,,,[],,,[],aewarephil,,,1,264c60c15ea34d3480a6893781b2d18e,,1,TRUE,FALSE,543d63f054ea3f7dd00000ba,"My name is Alex. I am from Zanesville, Ohio. I took an undergraduate course on Religions and Philosophies of Asia, so I have some background knowledge for this course. I am very excited to get another perspective on this material!",[],UBCx/China300x/3T2014,FALSE,5424324,0,0,1413309424792,1.41331E+12,1,Greetings,FALSE,['893549'],discussion
,,CommentThread,,,[],,1413819027507,,,[],,,[],NMarzian,,,1,264c60c15ea34d3480a6893781b2d18e,,1,TRUE,FALSE,543d65b454ea3f195e000741,"My name is Nico Marzian, I am living and working close to Frankfurt, Germany, and my professional focus is on interconnected collaboration in innovation processes, based on IT platforms and digital communication.I have got strong personal interest in China and already take part in HarvardX's ChinaX MOOC series. As the Warring States Period was highly fascinating I now want to seize the chance to amplify my understanding and knowledge about this most important time in Chinese history.So I am looking forward a lot to this wonderful opportunity to learn from Professor Slingerland and the China300x team as well as from my fellow students.",[],UBCx/China300x/3T2014,FALSE,3458786,2,0,1413309876227,1.41331E+12,1,Participant from Germany,FALSE,['893549'],discussion
,,CommentThread,,,[],,,,,[],543d681904d6cfc08c0004b6,,[],DrKarenS,,[],2,,,2,TRUE,FALSE,543d681904d6cfc08c0004b6,"Karen from Toronto, Ontario, Canada. I am a neuropsychologist and wm currently writing a book about the brain as a nonlinear dynamical system. While this may not be obvious (yet -- buy the book when it comes available! ;-), much of Chinese philosophy matches up nicely with brain dynamics and the brain's dynamics are the sme as other complex systems in our world. As part of my book, I am including pertinent quotes from traditional spiritual literatures, so this course will help me find those as well as making sure I'm not mis-describing those traditional perspectives. My experience has been mostly from personal reading and studying of the Dao de Jing and the Yi Jing as well as the psychological approaches that incorporate buddhist and daoist fundamentals (mindfulness; Jungian analysis).",[],UBCx/China300x/3T2014,FALSE,2439330,,0,1413310489981,1.41331E+12,2,,,"['264979', '893549']",
,,CommentThread,,,[],,,,,[],543d693a04d6cfc08c0004ba,,[],JennyHowsam,,[],2,,,2,TRUE,FALSE,543d693a04d6cfc08c0004ba,"Hi, I'm Jenny and I live in East Yorkshire, UK.  I'm a yoga teacher.  I'm doing the course because I'd like to know more about the period and fill in some of the gaps in my knowledge.  Taking the ChinaX courses has sparked a real interest in the history of China and Chinese thought.",[],UBCx/China300x/3T2014,FALSE,4255526,,0,1413310778838,1.41331E+12,2,,,"['264979', '893549']",
,,CommentThread,,,[],,,,,[],543d7c6c54ea3f6c130000e7,,[],jo777,,[],0,,,0,TRUE,FALSE,543d7c6c54ea3f6c130000e7,"I'm Jo, from Zimbabwe, retired. I've been to China, on a touring holiday. Studied Politics and Philosophy at University, and have had a lifelong interest in comparative religion.",[],UBCx/China300x/3T2014,FALSE,5167050,,0,1413315692213,1.41332E+12,0,,,[],
,,CommentThread,,,[],,,,,[],543d771f04d6cfa050000805-543d7cb504d6cf6125000155,,[],MARIANTHI,,[{'$oid': '543d771f04d6cfa050000805'}],0,,543d771f04d6cfa050000805,0,TRUE,FALSE,543d7cb504d6cf6125000155,"Crouching Tiger-Hidden dragon, The hero, Curse of the golden flower, The House of Flying Daggers... Have you seen any?I also came across some really strange cultchinese movies, but can't recall the titles. ",[],UBCx/China300x/3T2014,FALSE,1094074,,0,1413315765776,1.41332E+12,0,,,[],
,,CommentThread,,,[],,,,,[],543d7ed354ea3fff1a000146,,[],AshaMN,,[],5,,,5,TRUE,FALSE,543d7ed354ea3fff1a000146,The marks for the end of sub section multiple choice questions are not updated. So although its showing whether the answer is correct or not I dont see the marks awarded neither there nor in the progress sheet.,[],UBCx/China300x/3T2014,FALSE,2699350,,0,1413316307926,1.41332E+12,5,,,"['893549', '924844', '4905445', '5491227', '5515015']",
,,CommentThread,,,[],,,,,[],543d84a704d6cf848100077f,,[],MaggieDoyle4e61,,[],0,,,0,TRUE,FALSE,543d84a704d6cf848100077f,"Hi, I was born and educated in Ireland and have been living in Paris, France since 1983. I am an acquiring editor of foreign fiction for a prominent French publishing house. I've been studying Mandarin for professional and personal reasons for five years and I feel this course will be an excellent complement to my language studies.This happens to be the most busy time of year for me but, fingers crossed, I'll cope!Maggie",[],UBCx/China300x/3T2014,FALSE,5480648,,0,1413317799540,1.41332E+12,0,,,[],
